sigma3,eps1,sig1,eps3
0,0,0,0
0,0.0003,11.41121829,-1.61E-06
0,0.0006,22.81043944,-1.29E-05
0,0.0009,34.15394588,-4.34E-05
0,0.0012,45.35116125,-0.000102828
0,0.0015,56.25709439,-0.000200835
0,0.0018,66.67183376,-0.000347044
0,0.0021,76.34915176,-0.000551093
0,0.0024,85.01575645,-0.000822622
0,0.0027,92.40056191,-0.001171272
0,0.003,98.27006253,-0.001606684
0,0.0033,102.4627551,-0.002138496
0,0.0036,104.9142851,-0.002776349
0,0.0039,105.6669975,-0.003529797
0,0.0042,105.0333225,-0.004337141
0,0.0045,103.3622936,-0.005139803
0,0.0048,100.8650633,-0.005938125
0,0.0051,97.74444311,-0.006732405
0,0.0054,94.18363539,-0.007522904
0,0.0057,90.34010185,-0.008309852
0,0.006,86.34357304,-0.009093455
0,0.0063,82.29695171,-0.009873897
0,0.0066,78.27894886,-0.010651343
0,0.0069,74.34753842,-0.011425942
0,0.0072,70.54359791,-0.01219783
0,0.0075,66.89434924,-0.012967132
0,0.0078,63.41639972,-0.013733961
0,0.0081,60.1183091,-0.014498421
0,0.0084,57.00268441,-0.015260609
0,0.0087,54.06784546,-0.016020614
0,0.009,51.30912094,-0.016778519
0,0.0093,48.71983874,-0.017534401
0,0.0096,46.29207002,-0.018288331
0,0.0099,44.01717907,-0.019040376
0,0.0102,41.88622262,-0.0197906
0,0.0105,39.89023386,-0.02053906
0,0.0108,38.02041957,-0.021285812
0,0.0111,36.2682921,-0.02203091
0,0.0114,34.62575345,-0.0227744
0,0.0117,33.08514418,-0.023516331
0,0.012,31.6392672,-0.024256746
0,0.0123,30.28139363,-0.024995686
0,0.0126,29.00525635,-0.025733192
0,0.0129,27.80503522,-0.0264693
0,0.0132,26.675337,-0.027204046
0,0.0135,25.6111721,-0.027937465
0,0.0138,24.60792972,-0.028669589
0,0.0141,23.66135245,-0.029400449
0,0.0144,22.76751113,-0.030130074
0,0.0147,21.92278047,-0.030858493
0,0.015,21.12381572,-0.031585732
0,0.0153,20.36753063,-0.032311818
0,0.0156,19.65107675,-0.033036775
0,0.0159,18.97182424,-0.033760628
0,0.0162,18.32734398,-0.034483399
0,0.0165,17.71539111,-0.03520511
0,0.0168,17.13388986,-0.035925782
0,0.0171,16.58091964,-0.036645437
0,0.0174,16.05470221,-0.037364092
0,0.0177,15.55359007,-0.038081768
0,0.018,15.07605567,-0.038798483
0,0.0183,14.6206817,-0.039514254
0,0.0186,14.18615214,-0.040229098
0,0.0189,13.77124406,-0.040943032
0,0.0192,13.37482021,-0.041656071
0,0.0195,12.99582217,-0.042368232
0,0.0198,12.63326417,-0.043079528
0,0.0201,12.28622735,-0.043789974
0,0.0204,11.9538546,-0.044499584
0,0.0207,11.63534581,-0.045208372
0,0.021,11.32995347,-0.04591635
0,0.0213,11.03697874,-0.046623532
0,0.0216,10.75576777,-0.04732993
0,0.0219,10.48570836,-0.048035556
0,0.0222,10.22622691,-0.048740421
0,0.0225,9.97678556,-0.049444536
0,0.0228,9.736879665,-0.050147913
0,0.0231,9.506035372,-0.050850563
0,0.0234,9.283807451,-0.051552495
0,0.0237,9.069777289,-0.05225372
0,0.024,8.863551026,-0.052954248
0,0.0243,8.66475786,-0.053654088
0,0.0246,8.473048467,-0.054353249
0,0.0249,8.288093549,-0.055051742
0,0.0252,8.109582494,-0.055749574
0,0.0255,7.937222136,-0.056446754
0,0.0258,7.770735609,-0.05714329
0,0.0261,7.609861284,-0.057839192
0,0.0264,7.45435179,-0.058534466
0,0.0267,7.303973098,-0.059229121
0,0.027,7.158503685,-0.059923164
0,0.0273,7.017733741,-0.060616604
0,0.0276,6.881464448,-0.061309446
0,0.0279,6.749507299,-0.062001699
0,0.0282,6.621683475,-0.062693368
0,0.0285,6.497823252,-0.063384462
0,0.0288,6.377765466,-0.064074987
0,0.0291,6.261356996,-0.064764949
0,0.0294,6.148452297,-0.065454354
0,0.0297,6.038912957,-0.06614321
0.5,0,0.5,0
0.5,0.0003,12.38664418,-1.60E-06
0.5,0.0006,24.26087985,-1.28E-05
0.5,0.0009,36.07748932,-4.32E-05
0.5,0.0012,47.74278082,-0.000102411
0.5,0.0015,59.10674763,-0.000200021
0.5,0.0018,69.96248481,-0.000345637
0.5,0.0021,80.05498284,-0.000548859
0.5,0.0024,89.10089477,-0.000819288
0.5,0.0027,96.81866459,-0.001166525
0.5,0.003,102.9650354,-0.001600171
0.5,0.0033,107.3707135,-0.002129828
0.5,0.0036,109.9666157,-0.002765096
0.5,0.0039,110.7939255,-0.003515569
0.5,0.0042,110.1813246,-0.004323048
0.5,0.0045,108.5098178,-0.005125842
0.5,0.0048,105.9933042,-0.005924296
0.5,0.0051,102.8376809,-0.006718706
0.5,0.0054,99.22930444,-0.007509335
0.5,0.0057,95.3286465,-0.008296413
0.5,0.006,91.26815966,-0.009080145
0.5,0.0063,87.15310273,-0.009860715
0.5,0.0066,83.06415092,-0.010638288
0.5,0.0069,79.06086164,-0.011413014
0.5,0.0072,75.18534898,-0.012185028
0.5,0.0075,71.46576961,-0.012954456
0.5,0.0078,67.91941229,-0.01372141
0.5,0.0081,64.55531154,-0.014485995
0.5,0.0084,61.3763847,-0.015248308
0.5,0.0087,58.38113379,-0.016008437
0.5,0.009,55.56497199,-0.016766465
0.5,0.0093,52.92123878,-0.01752247
0.5,0.0096,50.44196374,-0.018276522
0.5,0.0099,48.11843202,-0.01902869
0.5,0.0102,45.94159559,-0.019779035
0.5,0.0105,43.90236653,-0.020527617
0.5,0.0108,41.991821,-0.021274491
0.5,0.0111,40.20133641,-0.022019709
0.5,0.0114,38.52267915,-0.02276332
0.5,0.0117,36.94805623,-0.023505371
0.5,0.012,35.47014091,-0.024245906
0.5,0.0123,34.08207976,-0.024984966
0.5,0.0126,32.77748702,-0.02572259
0.5,0.0129,31.55043023,-0.026458818
0.5,0.0132,30.39541033,-0.027193683
0.5,0.0135,29.30733842,-0.027927221
0.5,0.0138,28.28151074,-0.028659463
0.5,0.0141,27.31358312,-0.02939044
0.5,0.0144,26.39954553,-0.030120183
0.5,0.0147,25.53569739,-0.030848719
0.5,0.015,24.71862396,-0.031576076
0.5,0.0153,23.94517393,-0.032302279
0.5,0.0156,23.21243843,-0.033027353
0.5,0.0159,22.5177315,-0.033751322
0.5,0.0162,21.85857191,-0.034474209
0.5,0.0165,21.23266643,-0.035196036
0.5,0.0168,20.63789433,-0.035916825
0.5,0.0171,20.07229327,-0.036636595
0.5,0.0174,19.53404623,-0.037355366
0.5,0.0177,19.0214696,-0.038073157
0.5,0.018,18.53300231,-0.038789987
0.5,0.0183,18.06719582,-0.039505873
0.5,0.0186,17.62270503,-0.040220832
0.5,0.0189,17.19827992,-0.04093488
0.5,0.0192,16.79275801,-0.041648034
0.5,0.0195,16.40505733,-0.042360308
0.5,0.0198,16.03417011,-0.043071718
0.5,0.0201,15.679157,-0.043782278
0.5,0.0204,15.3391417,-0.044492002
0.5,0.0207,15.01330614,-0.045200903
0.5,0.021,14.70088606,-0.045908995
0.5,0.0213,14.4011669,-0.046616291
0.5,0.0216,14.11348008,-0.047322801
0.5,0.0219,13.8371996,-0.04802854
0.5,0.0222,13.57173891,-0.048733517
0.5,0.0225,13.31654801,-0.049437745
0.5,0.0228,13.07111082,-0.050141235
0.5,0.0231,12.83494276,-0.050843997
0.5,0.0234,12.60758852,-0.051546041
0.5,0.0237,12.38861997,-0.052247378
0.5,0.024,12.17763431,-0.052948018
0.5,0.0243,11.97425231,-0.053647969
0.5,0.0246,11.7781167,-0.054347242
0.5,0.0249,11.58889069,-0.055045846
0.5,0.0252,11.40625659,-0.055743789
0.5,0.0255,11.22991455,-0.05644108
0.5,0.0258,11.05958138,-0.057137728
0.5,0.0261,10.89498949,-0.05783374
0.5,0.0264,10.73588585,-0.058529125
0.5,0.0267,10.5820311,-0.059223891
0.5,0.027,10.43319863,-0.059918045
0.5,0.0273,10.28917384,-0.060611594
0.5,0.0276,10.14975336,-0.061304547
0.5,0.0279,10.01474437,-0.06199691
0.5,0.0282,9.883963944,-0.06268869
0.5,0.0285,9.757238484,-0.063379894
0.5,0.0288,9.63440312,-0.064070528
0.5,0.0291,9.515301224,-0.064760599
0.5,0.0294,9.399783908,-0.065450114
0.5,0.0297,9.287709585,-0.066139079
1,0,1,0
1,0.0003,13.31239527,-1.59E-06
1,0.0006,25.61214734,-1.27E-05
1,0.0009,37.85318088,-4.28E-05
1,0.0012,49.94000983,-0.000101452
1,0.0015,61.71968793,-0.000198148
1,0.0018,72.98107376,-0.0003424
1,0.0021,83.46354295,-0.000543719
1,0.0024,92.87678937,-0.000811616
1,0.0027,100.9311784,-0.001155602
1,0.003,107.3747528,-0.001585187
1,0.0033,112.0297048,-0.002109884
1,0.0036,114.8196707,-0.002739204
1,0.0039,115.7808488,-0.003482657
1,0.0042,115.2367925,-0.004290277
1,0.0045,113.6122826,-0.005093379
1,0.0048,111.1221513,-0.005892137
1,0.0051,107.9737311,-0.006686851
1,0.0054,104.3555369,-0.007477781
1,0.0057,100.4306,-0.008265159
1,0.006,96.33405614,-0.009049189
1,0.0063,92.17376018,-0.009830056
1,0.0066,88.03275919,-0.010607924
1,0.0069,83.97268396,-0.011382944
1,0.0072,80.03739733,-0.012155251
1,0.0075,76.2564865,-0.01292497
1,0.0078,72.64837857,-0.013692214
1,0.0081,69.22298999,-0.014457089
1,0.0084,65.98390241,-0.015219689
1,0.0087,62.93010235,-0.015980105
1,0.009,60.05734207,-0.01673842
1,0.0093,57.35918463,-0.01749471
1,0.0096,54.82779316,-0.018249047
1,0.0099,52.45451714,-0.019001497
1,0.0102,50.23032076,-0.019752125
1,0.0105,48.14608976,-0.020500989
1,0.0108,46.19284613,-0.021248143
1,0.0111,44.36189362,-0.021993641
1,0.0114,42.64491203,-0.022737532
1,0.0117,41.0340137,-0.023479861
1,0.012,39.52177292,-0.024220674
1,0.0123,38.10123577,-0.024960011
1,0.0126,36.7659165,-0.025697912
1,0.0129,35.50978465,-0.026434415
1,0.0132,34.32724618,-0.027169556
1,0.0135,33.21312087,-0.027903368
1,0.0138,32.16261782,-0.028635884
1,0.0141,31.17131005,-0.029367135
1,0.0144,30.23510923,-0.030097151
1,0.0147,29.35024093,-0.030825959
1,0.015,28.51322093,-0.031553587
1,0.0153,27.72083272,-0.032280061
1,0.0156,26.97010634,-0.033005406
1,0.0159,26.2582986,-0.033729645
1,0.0162,25.58287477,-0.034452802
1,0.0165,24.94149161,-0.035174898
1,0.0168,24.33198167,-0.035895955
1,0.0171,23.75233896,-0.036615993
1,0.0174,23.2007057,-0.037335032
1,0.0177,22.67536024,-0.038053091
1,0.018,22.17470594,-0.038770187
1,0.0183,21.69726107,-0.039486339
1,0.0186,21.24164949,-0.040201564
1,0.0189,20.80659221,-0.040915878
1,0.0192,20.39089961,-0.041629296
1,0.0195,19.99346439,-0.042341835
1,0.0198,19.61325506,-0.043053509
1,0.0201,19.24931003,-0.043764333
1,0.0204,18.90073223,-0.04447432
1,0.0207,18.56668409,-0.045183485
1,0.021,18.24638308,-0.045891839
1,0.0213,17.93909749,-0.046599397
1,0.0216,17.64414267,-0.047306169
1,0.0219,17.3608775,-0.048012169
1,0.0222,17.08870125,-0.048717408
1,0.0225,16.82705058,-0.049421897
1,0.0228,16.57539685,-0.050125647
1,0.0231,16.33324368,-0.050828668
1,0.0234,16.10012463,-0.051530972
1,0.0237,15.8756011,-0.052232569
1,0.024,15.65926041,-0.052933468
1,0.0243,15.45071403,-0.053633678
1,0.0246,15.24959588,-0.05433321
1,0.0249,15.05556087,-0.055032071
1,0.0252,14.86828347,-0.055730272
1,0.0255,14.68745642,-0.056427821
1,0.0258,14.51278953,-0.057124726
1,0.0261,14.34400855,-0.057820995
1,0.0264,14.1808542,-0.058516637
1,0.0267,14.02308114,-0.059211659
1,0.027,13.87045714,-0.059906068
1,0.0273,13.72276226,-0.060599874
1,0.0276,13.57978805,-0.061293082
1,0.0279,13.44133688,-0.0619857
1,0.0282,13.30722126,-0.062677735
1,0.0285,13.17726323,-0.063369193
1,0.0288,13.05129382,-0.064060082
1,0.0291,12.92915246,-0.064750408
1,0.0294,12.81068654,-0.065440176
1,0.0297,12.69575092,-0.066129395
1.5,0,1.5,0
